한자,훈/음 (1),훈/음 (2),훈/음 (3),부수,급수
校,학교 교:,,,木,8급
東,동녘 동,,,木,8급
四,넉 사:,,,囗,8급
五,다섯 오:,,,二,8급
中,가운데 중,,,丨,8급
敎,가르칠 교:,,,攴,8급
六,여섯 륙,,,八,8급
山,메 산,,,山,8급
王,임금 왕,,,玉,8급
靑,푸를 청,,,靑,8급
九,아홉 구,,,乙,8급
萬,일만 만:,,,艸,8급
三,석 삼,,,一,8급
外,바깥 외:,,,夕,8급
寸,마디 촌:,,,寸,8급
國,나라 국,,,囗,8급
母,어미 모:,,,毋,8급
生,날 생,,,生,8급
月,달 월,,,月,8급
七,일곱 칠,,,一,8급
軍,군사 군,,,車,8급
木,나무 목,,,木,8급
西,서녘 서,,,襾,8급
二,두 이:,,,二,8급
土,흙 토,,,土,8급
金,쇠 금,성(姓) 김,,金,8급
門,문 문,,,門,8급
先,먼저 선,,,儿,8급
人,사람 인,,,人,8급
八,여덟 팔,,,八,8급
南,남녘 남,,,十,8급
民,백성 민,,,氏,8급
小,작을 소:,,,小,8급
一,한 일,,,一,8급
學,배울 학,,,子,8급
女,계집 녀,,,女,8급
白,흰 백,,,白,8급
水,물 수,,,水,8급
日,날 일,,,日,8급
韓,한국 한(:),나라 한(:),,韋,8급
年,해 년,,,干,8급
父,아비 부,,,父,8급
室,집 실,,,宀,8급
長,긴 장(:),,,長,8급
兄,형 형,,,儿,8급
大,큰 대(:),,,大,8급
北,북녘 북,달아날 배:,,匕,8급
十,열 십,,,十,8급
弟,아우 제:,,,弓,8급
火,불 화(:),,,火,8급
家,집 가,,,宀,7급Ⅱ
農,농사 농,,,辰,7급Ⅱ
不,아닐 불,,,一,7급Ⅱ
午,낮 오:,,,十,7급Ⅱ
左,왼 좌:,,,工,7급Ⅱ
間,사이 간(:),,,門,7급Ⅱ
答,대답 답,,,竹,7급Ⅱ
事,일 사:,,,亅,7급Ⅱ
右,오를 우:,오른(쪽) 우:,,口,7급Ⅱ
直,곧을 직,,,目,7급Ⅱ
江,강 강,,,水,7급Ⅱ
道,길 도:,,,辵,7급Ⅱ
上,윗 상:,,,一,7급Ⅱ
子,아들 자,,,子,7급Ⅱ
平,평평할 평,,,干,7급Ⅱ
車,수레 거,수레 차,,車,7급Ⅱ
動,움직일 동:,,,力,7급Ⅱ
姓,성 성:,,,女,7급Ⅱ
自,스스로 자,,,自,7급Ⅱ
下,아래 하:,,,一,7급Ⅱ
工,장인 공,,,工,7급Ⅱ
力,힘 력,,,力,7급Ⅱ
世,인간 세:,,,一,7급Ⅱ
場,마당 장,,,土,7급Ⅱ
漢,한수 한:,한나라 한:,,水,7급Ⅱ
空,빌 공,,,穴,7급Ⅱ
立,설 립,,,立,7급Ⅱ
手,손 수(:),,,手,7급Ⅱ
電,번개 전:,,,雨,7급Ⅱ
海,바다 해:,,,水,7급Ⅱ
氣,기운 기,,,气,7급Ⅱ
每,매양 매(:),,,毋,7급Ⅱ
時,때 시,,,日,7급Ⅱ
前,앞 전,,,刀,7급Ⅱ
話,말씀 화,,,言,7급Ⅱ
記,기록할 기,,,言,7급Ⅱ
名,이름 명,,,口,7급Ⅱ
市,저자 시:,,,巾,7급Ⅱ
全,온전 전,,,入,7급Ⅱ
活,살 활,,,水,7급Ⅱ
男,사내 남,,,田,7급Ⅱ
物,물건 물,,,牛,7급Ⅱ
食,밥 식,먹을 식,,食,7급Ⅱ
正,바를 정(:),,,止,7급Ⅱ
孝,효도 효:,,,子,7급Ⅱ
內,안 내:,,,入,7급Ⅱ
方,모[棱] 방,,,方,7급Ⅱ
安,편안 안,,,宀,7급Ⅱ
足,발 족,,,足,7급Ⅱ
後,뒤 후:,,,彳,7급Ⅱ
歌,노래 가,,,欠,7급
林,수풀 림,,,木,7급
少,적을 소:,,,小,7급
入,들 입,,,入,7급
川,내 천,,,巛,7급
口,입 구(:),,,口,7급
面,낯 면:,,,面,7급
所,바 소:,,,戶,7급
字,글자 자,,,子,7급
草,풀 초,,,艸,7급
旗,기 기,,,方,7급
命,목숨 명:,,,口,7급
數,셈 수:,,,攴,7급
祖,할아비 조,,,示,7급
村,마을 촌:,,,木,7급
同,한가지 동,,,口,7급
文,글월 문,,,文,7급
植,심을 식,,,木,7급
住,살 주:,,,人,7급
秋,가을 추,,,禾,7급
洞,골 동:,밝을 통:,,水,7급
問,물을 문:,,,口,7급
心,마음 심,,,心,7급
主,임금 주,주인 주,,丶,7급
春,봄 춘,,,日,7급
冬,겨울 동(:),,,冫,7급
百,일백 백,,,白,7급
語,말씀 어:,,,言,7급
重,무거울 중:,,,里,7급
出,날[生] 출,,,凵,7급
登,오를 등,,,癶,7급
夫,지아비 부,,,大,7급
然,그럴 연,,,火,7급
紙,종이 지,,,糸,7급
便,편할 편(:),똥오줌 변,,人,7급
來,올 래(:),,,人,7급
算,셈 산:,,,竹,7급
有,있을 유:,,,月,7급
地,따 지,,,土,7급
夏,여름 하:,,,夊,7급
老,늙을 로:,,,老,7급
色,빛 색,,,色,7급
育,기를 육,,,肉,7급
千,일천 천,,,十,7급
花,꽃 화,,,艸,7급
里,마을 리:,,,里,7급
夕,저녁 석,,,夕,7급
邑,고을 읍,,,邑,7급
天,하늘 천,,,大,7급
休,쉴 휴,,,人,7급
各,각각 각,,,口,6급Ⅱ
光,빛 광,,,儿,6급Ⅱ
童,아이 동(:),,,立,6급Ⅱ
發,필 발,,,癶,6급Ⅱ
消,사라질 소,,,水,6급Ⅱ
角,뿔 각,,,角,6급Ⅱ
球,공 구,,,玉,6급Ⅱ
等,무리 등:,,,竹,6급Ⅱ
放,놓을 방(:),,,攴,6급Ⅱ
術,재주 술,,,行,6급Ⅱ
界,지경 계:,,,田,6급Ⅱ
今,이제 금,,,人,6급Ⅱ
樂,즐길 락,노래 악,좋아할 요,木,6급Ⅱ
部,떼 부,,,邑,6급Ⅱ
始,비로소 시:,,,女,6급Ⅱ
計,셀 계:,,,言,6급Ⅱ
急,급할 급,,,心,6급Ⅱ
利,이할 리:,,,刀,6급Ⅱ
分,나눌 분(:),,,刀,6급Ⅱ
身,몸 신,,,身,6급Ⅱ
高,높을 고,,,高,6급Ⅱ
短,짧을 단(:),,,矢,6급Ⅱ
理,다스릴 리:,,,玉,6급Ⅱ
社,모일 사,,,示,6급Ⅱ
神,귀신 신,,,示,6급Ⅱ
公,공평할 공,,,八,6급Ⅱ
堂,집 당,,,土,6급Ⅱ
明,밝을 명,,,日,6급Ⅱ
書,글 서,,,曰,6급Ⅱ
信,믿을 신:,,,人,6급Ⅱ
共,한가지 공:,,,八,6급Ⅱ
代,대신할 대:,,,人,6급Ⅱ
聞,들을 문(:),,,耳,6급Ⅱ
線,줄 선,,,糸,6급Ⅱ
新,새 신,,,斤,6급Ⅱ
功,공[勳] 공,,,力,6급Ⅱ
對,대할 대:,,,寸,6급Ⅱ
半,반(半) 반:,,,十,6급Ⅱ
雪,눈 설,,,雨,6급Ⅱ
弱,약할 약,,,弓,6급Ⅱ
果,실과 과:,,,木,6급Ⅱ
圖,그림 도,,,囗,6급Ⅱ
反,돌이킬 반:,돌아올 반:,,又,6급Ⅱ
成,이룰 성,,,戈,6급Ⅱ
藥,약 약,,,艸,6급Ⅱ
科,과목 과,,,禾,6급Ⅱ
讀,읽을 독,구절 두,,言,6급Ⅱ
班,나눌 반,,,玉,6급Ⅱ
省,살필 성,덜 생,,目,6급Ⅱ
業,업 업,,,木,6급Ⅱ
勇,날랠 용:,,,力,6급Ⅱ
庭,뜰 정,,,广,6급Ⅱ
幸,다행 행:,,,干,6급Ⅱ
用,쓸 용:,,,用,6급Ⅱ
第,차례 제:,,,竹,6급Ⅱ
現,나타날 현:,,,玉,6급Ⅱ
運,옮길 운:,,,辵,6급Ⅱ
題,제목 제,,,頁,6급Ⅱ
形,모양 형,,,彡,6급Ⅱ
音,소리 음,,,音,6급Ⅱ
注,부을 주:,,,水,6급Ⅱ
和,화할 화,,,口,6급Ⅱ
飮,마실 음(:),,,食,6급Ⅱ
集,모을 집,,,隹,6급Ⅱ
會,모일 회:,,,曰,6급Ⅱ
意,뜻 의:,,,心,6급Ⅱ
窓,창 창,,,穴,6급Ⅱ
作,지을 작,,,人,6급Ⅱ
淸,맑을 청,,,水,6급Ⅱ
昨,어제 작,,,日,6급Ⅱ
體,몸 체,,,骨,6급Ⅱ
才,재주 재,,,手,6급Ⅱ
表,겉 표,,,衣,6급Ⅱ
戰,싸움 전:,,,戈,6급Ⅱ
風,바람 풍,,,風,6급Ⅱ
感,느낄 감:,,,心,6급
近,가까울 근:,,,辵,6급
